Place,Address,Tags,url
Xian De Lai (Bugis),18 Liang Seah Street Singapore 189039,"['Buffets', 'Supper', 'Chinese', 'Steamboat']",https://www.burpple.com/liang-seah-street-bugis
Ramen Champion (Bugis+),201 Victoria Street #04-10 Bugis+ Singapore 188067,"['Ramen', 'Japanese']",https://www.burpple.com/ramen-champion
Ajisen Ramen (Bugis Junction),200 Victoria Street #01-01 Bugis Junction Singapore 188021,"['Ramen', 'Japanese']",https://www.burpple.com/ajisen-ramen-15
Bumbu Restaurant (Bugis),44 Kandahar Street Singapore 198897,"['Burpple Guides', 'Thai', 'Indonesian', 'Halal']",https://www.burpple.com/bumbu
Tori Q (Bugis Junction),200 Victoria Street #B1-K1 Bugis Junction Singapore 188024,"['Fast Food', 'Japanese']",https://www.burpple.com/toriq-3
McDonald's (Bugis Junction),200 Victoria Street #01-66 Bugis Junction Singapore 188024,"['Fast Food', 'Supper']",https://www.burpple.com/mcdonaldstm-bugis-junction
Sukhothai Kitchen (Bugis),149 Rochor Road #B1-22 Fu Lu Shou Complex Choh Dee Food Place Singapore 188425,['Thai'],https://www.burpple.com/sukhothai-kitchen-authentic-thai-cuisine
Super Dream (Bugis),3 New Bugis Street #01-MSV12 Singapore 188867,['Desserts'],https://www.burpple.com/super-dream
Rumah Makan Minang (Bugis),18/18A Kandahar Street Singapore 198884,"['Local Delights', 'Indonesian', 'Halal']",https://www.burpple.com/rumah-makan-minang
The SaladBox (Bugis),191 Rochor Road #B2-08 Bugis MRT Singapore 188476,"['Healthy', 'Salads']",https://www.burpple.com/the-saladbox
PastaMania (Bugis Junction),200 Victoria Street #B1-08 Bugis Junction Singapore 188021,"['Pasta', 'Italian', 'Pizza', 'Halal']",https://www.burpple.com/pastamania-17
